Date,Close,High,Low,Open,Volume,RSI_14,Microsoft stock,sell Microsoft stock,buy Microsoft stock
2016-10-24,53.391395568847656,54.64914476759167,53.229684859663685,54.45149758367995,135169300,63.18835156248032,29,0,26
2016-10-31,54.05619430541992,54.60421345986636,52.57385095169906,53.48122451291557,154530100,65.07351679181482,32,0,25
2016-11-07,53.58903503417969,54.34368375931374,51.459845478960894,54.33469792838064,201155200,62.645705484443525,26,0,23
2016-11-14,54.62940216064453,55.40723510136945,54.24048396516099,54.63844524531622,124527200,65.71358993786158,20,0,24
2016-11-21,54.502777099609375,55.5429078426398,54.38519974275656,54.5389563402913,86164300,65.01371383393001,25,0,31
2016-11-28,55.5067253112793,55.51577184603461,53.18226271402537,54.36710689929852,134326500,67.93006845037286,28,0,37
2016-12-05,56.69158935546875,57.388024415177206,55.02738175245923,55.44343279065078,134839900,71.00226154786341,29,0,20
2016-12-12,57.46939849853516,57.7045566183628,56.1850632972317,56.70965183796961,147585900,72.84152944845837,22,0,25
2016-12-19,56.971961975097656,57.97591011844428,56.80011229136169,57.7407519331248,60996900,69.79265263836787,19,0,0
2016-12-26,56.34788131713867,57.16189704404899,56.10367659906558,56.85438037502094,77864600,66.05699253029263,23,0,40
2017-01-02,57.15283966064453,57.18901889724997,56.10366595078004,56.2483794469599,105291900,68.40597599853251,25,0,38
2017-01-09,56.52876663208008,57.34278225167887,56.03131417576619,57.03526562319068,80724600,64.66938907675623,21,0,28
2017-01-16,57.596038818359375,57.975910532025935,56.25743783410547,56.293617078333504,120108400,67.89882340896276,37,0,28
2017-01-23,57.505592346191406,59.61298667780129,57.4061011528203,57.99400177715368,184966000,67.33708932703505,33,0,38
2017-01-30,57.28851318359375,57.71361061118597,56.754881490533634,57.20711162193231,134298800,65.92732928252201,29,0,51
2017-02-06,58.36483383178711,58.66330744712944,57.27043747601779,57.451330262566806,103848800,69.35329393918241,31,0,38
2017-02-13,58.56396865844727,59.36471649996299,58.28188837358848,58.909744715445726,81743700,69.95521023796883,26,50,34
2017-02-20,59.09174346923828,59.13723648682159,58.018006202180175,58.618568878601415,108118700,71.55005999668585,32,0,48
2017-02-27,59.137245178222656,59.21914372961994,57.89062315342123,58.86426620564552,101457700,71.68958772859406,30,0,40
2017-03-06,58.91884231567383,59.38291544996294,58.37287759773737,59.31921968190898,98599000,69.91712129412304,27,0,48
2017-03-13,59.17361831665039,59.60129282632762,58.34557343090026,58.91883527488112,131812600,70.82335894775916,27,0,32
2017-03-20,59.574005126953125,59.60130232258949,58.5548658551796,59.09173615786189,94199800,72.23872274522972,29,0,43
2017-03-27,59.65590286254883,60.37475917177769,59.31922815857515,59.52851130823678,91010000,72.53223947355069,27,0,43
2017-04-03,59.35563659667969,60.11088466774782,59.00985351269361,59.69231135657747,86064700,69.6256608375246,23,0,29
2017-04-10,59.182735443115234,59.92888895355639,59.04624250804156,59.41022135413167,76734200,67.93741366535419,25,0,32
2017-04-17,61.721458435058594,62.15822735067941,59.273708628254845,59.56489021944097,141025600,76.8235907041813,42,0,35
2017-04-24,62.8588981628418,63.43216006419959,61.49398292333647,62.012650436655775,159308300,79.55730052971839,37,0,48
2017-05-01,63.06819152832031,63.295677438542,62.258342243316605,62.81340841964306,100280500,80.02419875384491,37,0,40
2017-05-08,61.40300750732422,63.18649643013349,61.35750754274607,62.2037555107325,144538600,66.92704099428477,35,0,33
2017-05-15,62.93551254272461,63.03618064117487,61.4438051471356,61.68174856002826,98419700,71.54306633760021,30,0,42
2017-05-22,63.91472625732422,64.7383710765396,63.063634756598766,63.11854208384253,89191200,74.03660901753742,28,0,37
2017-05-29,66.24839782714844,66.70597759221071,63.557826574306006,64.280803440958,143503600,78.80354096551541,32,0,26
2017-06-05,64.30824279785156,66.36735128237493,62.34980239780716,66.35820471623069,172306700,67.67832342205281,35,0,45
2017-06-12,64.30824279785156,64.92140485298108,62.962964452936674,63.393083471396736,139615400,67.67832342205281,33,0,42
2017-06-19,63.87810516357422,65.6260553370047,62.95379255823344,64.55532091280045,121211300,65.30767380749327,32,0,35
2017-06-26,63.21921920776367,63.69509907015444,62.24914540109692,63.49376286533469,90421600,61.740102861665065,35,0,0
2017-07-03,65.11360168457031,65.23256990941381,62.34066943736424,62.4779377806017,88221300,67.27522461579878,31,0,27
2017-07-10,67.59368133544922,67.75841032499422,65.26002181391405,65.43390435346512,116793300,72.81927386472,51,0,48
2017-07-17,67.7675552368164,68.0695525273932,66.9256032964011,67.88652344327926,148743800,73.1625511665462,42,0,38
2017-07-24,66.12940216064453,68.10614229474395,65.37897193662647,67.50214088619782,127382500,64.85229944978059,35,0,26
2017-07-31,66.32160186767578,66.92560343216664,65.66268599214973,66.06535835655166,103757100,65.34959726087479,32,0,33
2017-08-07,67.40149688720703,67.81331585907142,65.23256641284321,65.79996780222572,103606600,68.08213960770854,33,0,28
2017-08-14,66.90496063232422,67.96300251247392,65.9665208008027,67.69619146309276,87584000,65.52349607152865,26,0,32
2017-08-21,68.09181213378906,68.27581637962021,66.28854385125814,66.923363412894,72838500,68.56456437859296,27,0,42
2017-08-28,67.53057098388672,68.96582335003501,67.1441579652022,68.11019051191352,87480800,65.61704006255302,25,0,35
2017-09-04,69.19586181640625,69.2234617554058,67.7146042560506,67.78820877292478,77861100,69.76969187320209,32,0,23
2017-09-11,68.94744110107422,69.89507624727368,68.14700793889708,69.00264096766863,115300500,68.44172991173316,33,0,45
2017-09-18,67.94459533691406,69.2234436510588,67.08896235514064,69.10384160690317,95031400,63.21122007756912,33,0,0
2017-09-25,68.71743774414062,69.01184875483082,67.44778455734803,67.6593957615842,68775800,65.40540287436093,33,0,39
2017-10-02,70.30908203125,70.50228856370809,68.96583160131931,69.20504269740066,75875000,69.44698368044315,32,0,47
