Date,Close,High,Low,Open,Volume,RSI_14,Google stock,sell Google stock,buy Google stock
2018-04-16,50.81829833984375,54.450345258892014,50.29129542377232,53.21793562268388,262602000,46.6425715002151,66,46,35
2018-04-23,50.9775505065918,52.227626322339695,50.17285966585925,51.23283778738303,168032000,47.04873093709094,52,0,42
2018-04-30,53.88278579711914,54.01615297710224,50.07730877276485,50.70981478281192,169408000,53.937336917788734,56,56,49
2018-05-07,53.83352279663086,55.27568958640531,53.42047823367755,54.04551614360265,136140000,53.809505324114056,48,37,43
2018-05-14,53.73001480102539,54.14355674765351,52.78399502745156,53.73996598988808,115658000,53.5224783974237,43,0,30
2018-05-21,53.13831329345703,53.87283325080293,52.512280652799696,53.69567476112683,93396000,51.82078585163266,39,31,36
2018-05-28,56.57603454589844,57.016844486477,53.12637014850859,53.12637014850859,215514000,59.81478110165011,44,30,35
2018-06-04,56.47202301025391,57.05476552241575,55.34535939105416,56.29934464091968,126170000,59.49314364110701,41,0,34
2018-06-11,58.21626281738281,59.03468636167805,56.76314633013273,56.92288929014255,162982000,63.07860899359621,40,43,33
2018-06-18,54.93878555297852,58.58725330111831,54.92086885841928,58.465579999457006,151270000,53.49651066005235,37,28,33
2018-06-25,54.884544372558594,56.52328225230816,54.43218483249381,54.84473202510701,85676000,53.352065205875306,36,0,31
2018-07-02,57.42301940917969,57.94007116060938,55.16272523272073,55.26474294817127,97804000,58.93971105370035,39,43,29
2018-07-09,59.51212692260742,59.94109492481736,57.524292450354295,57.72111033843191,130670000,62.880401314369735,45,32,33
2018-07-16,62.88713836669922,63.001594114322366,58.77162921364184,59.26927214313366,211786000,68.1915865592245,69,44,44
2018-07-23,60.71293258666992,63.394232837445294,59.99582820944652,62.25512748378773,191960000,62.033774066355896,54,32,41
2018-07-30,61.98690032958984,62.52883573513277,59.955521498163975,60.01075989449322,131338000,64.08053890147329,48,41,31
2018-08-06,60.43276596069336,62.48116170871749,60.19041029177476,62.20039088371789,122630000,59.84222546043006,45,49,31
2018-08-13,60.08192443847656,61.01102217465483,59.131921993742495,60.94782206956587,113932000,58.89521659512627,40,38,37
2018-08-20,62.1705322265625,62.2382124556624,59.92815479423391,60.07246790475152,113968000,62.68140469901466,47,47,53
2018-08-27,59.04433822631836,62.38625918057271,57.82610553860058,61.91822303968566,140802000,54.57794108770459,52,32,49
2018-09-03,57.86691665649414,59.03538209651149,57.32846661732928,59.03538209651149,138200000,51.858660595517286,52,41,45
2018-09-10,58.27846145629883,58.743012184970326,57.42948205285719,58.26104213282352,121534000,52.74490862054373,50,37,45
2018-09-17,58.74625396728516,59.43001185223733,57.07516810293332,58.72137030128124,186840000,53.786334480754256,51,40,53
2018-09-24,59.86395263671875,60.21280231948428,58.902506934444126,59.05677502079541,138862000,56.266335027187374,57,44,45
2018-10-01,53.80615234375,59.59324116787674,53.801672220716256,59.484753849600175,186212000,42.84592501079047,65,64,52
2018-10-08,55.52152633666992,56.18339237050668,53.16170508069547,53.39410196888856,196368000,46.72118019248019,56,60,48
2018-10-15,52.287841796875,55.82757557186624,52.18980683465295,55.82757557186624,174148000,41.06814482584674,64,83,48
2018-10-22,53.58469772338867,55.28713296986822,49.55677504396751,53.33687100224935,327132000,43.99482215018508,62,48,53
2018-10-29,54.41178131103516,54.51479376683245,50.821289226109535,53.53642981662473,181082000,45.84208633713982,51,40,39
2018-11-05,51.93700408935547,54.40581389413572,51.306988675912585,54.31175788590838,147656000,41.43786082942125,49,60,42
2018-11-12,51.635929107666016,53.33985650384184,49.56623005565966,51.98925513412721,186724000,40.92275873202805,45,39,44
2018-11-19,54.05546951293945,54.08582424390824,50.878963666020496,51.25722272004913,138258000,46.66105904313583,54,49,33
2018-11-26,52.29331588745117,55.967411533722206,52.251514062652014,53.5503624423198,167710000,43.35791842629537,52,46,41
2018-12-03,52.93328475952149,53.82755150203669,50.923307901444815,51.46922229213202,191932000,44.88390487826148,46,36,32
2018-12-10,50.90937042236328,53.73349176071882,50.15743116844296,53.15174781573809,201472000,41.1117032165886,49,0,37
2018-12-17,51.72799301147461,51.75486615567206,48.27684041113872,50.666522799247,224662000,43.1913751289048,43,0,46
2018-12-24,52.04598236083984,52.52919395196429,49.61499572565745,50.61774586773127,131010000,44.01841145179375,43,37,39
2018-12-31,53.47969436645508,53.97235978150657,50.46447313658032,51.80462588053751,177622000,47.714366756290445,46,32,37
2019-01-07,53.7937126159668,54.36127588569671,51.81732524584713,53.131349179789495,138338000,48.51610125163676,41,39,36
2019-01-14,53.52498245239258,55.15635469857808,52.73771093991808,53.71906289942411,115576000,47.84004015623601,40,44,33
